20
0	329	236	185	301	234	349	241	230	241	168	198	339	325	207	149	347	162	75	465
329	0	229	352	95	329	207	167	189	197	199	201	124	126	336	348	186	350	349	100
236	229	0	200	239	77	285	264	206	168	231	160	326	227	146	184	264	299	336	387
185	352	200	0	339	161	374	302	329	347	362	301	416	309	126	80	403	158	226	412
301	95	239	339	0	244	129	111	117	179	184	196	127	61	261	329	160	403	392	125
234	329	77	161	244	0	242	253	193	160	178	98	374	241	80	151	380	199	226	366
349	207	285	374	129	242	0	139	148	103	202	235	142	69	324	331	179	421	404	220
241	167	264	302	111	253	139	0	62	216	75	152	140	123	268	279	126	281	269	132
230	189	206	329	117	193	148	62	0	139	142	88	153	129	260	301	157	275	260	200
241	197	168	347	179	160	103	216	139	0	300	138	224	164	261	299	278	276	283	300
168	199	231	362	184	178	202	75	142	300	0	101	199	187	200	324	200	249	200	214
198	201	160	301	196	98	235	152	88	138	101	0	226	206	163	228	218	201	324	295
339	124	326	416	127	374	142	140	153	224	199	226	0	133	381	402	66	398	376	60
325	126	227	309	61	241	69	123	129	164	187	206	133	0	259	321	163	404	399	130
207	336	146	126	261	80	324	298	260	261	200	163	381	259	0	74	382	140	209	392
149	348	184	80	329	151	331	279	301	299	324	228	402	321	74	0	391	54	109	403
347	186	264	403	160	380	179	126	157	278	200	218	66	163	382	391	0	388	364	130
162	350	299	158	403	199	421	281	275	276	249	201	398	404	140	54	388	0	87	523
75	349	336	226	392	226	404	269	260	283	200	324	376	399	209	109	364	87	0	481
465	100	387	412	125	366	220	132	200	300	214	295	60	130	392	403	130	523	481	0
